memo_title,filename,cluster_id,book,part,chapter,story_name,story_exists,memo_id
Drawing Lines In The Sand: Journey To Colombia,03_5min_to_20min/5724 NE 60th Ave 116.json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-81df-8d35-c9f6f5f9e2ef
Christopher's Voice Clone Demo And Personal Journey,02_1min_to_5min/Voice demo.json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-81f1-b223-f1b7342b6d1c
Truth Is The Foundation Of All Transformation,02_1min_to_5min/Truth is transformation .json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-816c-a340-cc228666c68d
Building Vessels For The Transformational Odyssey,02_1min_to_5min/The biggest dream I can dream .json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-81b0-a8f4-eb72fa0558da
Transformational Coaching: Redefining Sales Through Neuroscience and Truth,02_1min_to_5min/New Recording 16.json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-81be-891f-d9d93539c155
From Inspiration To Transformation: The Community Model,02_1min_to_5min/I-84 W 4.json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-8145-b18f-f56d80d88ce4
The Rehuman Framework: Catalyst Plus Integration,02_1min_to_5min/I-84 W 3.json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-810f-abe9-c79a28daa5bf
Drawing The Line: Journey To Colombia For Self-Worth,02_1min_to_5min/5724 NE 60th Ave 118.json,136,Leadership,Part I: Foundations of Self-Leadership,Chapter 3: Transformation Through Truth,Story 136: Transformation Through Truth and Community Support,False,25ee2d54-9fb5-810f-bd98-fcdf4bae5e22
Master Prompt Creation For Growth Marketing Career,02_1min_to_5min/Wallflower Coffee Company 13.json,128,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,Story 128: Professional Identity and Leadership Structure,False,25ee2d54-9fb5-8184-ade3-f75aef9fd4c6
Strategic Vision For Revival And Midnight Library Projects,02_1min_to_5min/Arbor Lodge Garage.json,128,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,Story 128: Professional Identity and Leadership Structure,False,25ee2d54-9fb5-8198-a318-e6d8e12fd174
"The Three Categories of Value Creation: Work, Play, and Purpose",02_1min_to_5min/What is work: creating value for others. What is play: creating value for yourself.json,129,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,"Story 129: Work, Play, and Value Creation Framework",False,25ee2d54-9fb5-8115-acf6-eef5aeb676b1
Odyssey Partnership vs Independent Path Decision,03_5min_to_20min/Odyssey v Rehuman Thoughts.json,130,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,Story 130: Personal Branding and Authentic Self-Expression,False,25ee2d54-9fb5-811f-a73e-e912796f22d2
Career Alignment Versus Financial Security Dilemma,02_1min_to_5min/5724 NE 60th Ave 53.json,130,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,Story 130: Personal Branding and Authentic Self-Expression,False,25ee2d54-9fb5-81a1-ad9f-ddf8bcf8f569
Men's Rites Of Passage Application Response,02_1min_to_5min/University of Oregon Portland 49.json,130,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,Story 130: Personal Branding and Authentic Self-Expression,False,25ee2d54-9fb5-8152-a736-f458a7aed7b1
Personal Brand As Soul Mission Discovery,04_over_20_minutes/Personal mission:brand:religion .json,130,Leadership,Part I: Foundations of Self-Leadership,Chapter 2: Finding Your True Path,Story 130: Personal Branding and Authentic Self-Expression,False,25ee2d54-9fb5-81d0-b48b-eaf9832bc2c1
Business Strategy Session: Marketing and Operations Review,03_5min_to_20min/NW Quimby St 23.json,121,Spirituality,Part III: Healing and Integration,Chapter 8: Community Rebuilding,Story 121: Community Rebuilding and Collaborative Vision,False,25ee2d54-9fb5-8172-915c-da6ccbb64f5c
Relaunching Mycelial Moms At Immersive Space,02_1min_to_5min/5724 NE 60th Ave 97.json,121,Spirituality,Part III: Healing and Integration,Chapter 8: Community Rebuilding,Story 121: Community Rebuilding and Collaborative Vision,False,25ee2d54-9fb5-814b-83dd-fc6a3f236f37
Forest Vision: Holistic Men's Program and Community Dreams,03_5min_to_20min/Wisdom from the forest and next steps .json,123,Spirituality,Part III: Healing and Integration,Chapter 7: Professional Integration,Story 123: Wellness Practitioner Collaboration and Facility Enhancement,False,25ee2d54-9fb5-81fb-8ae5-c9ff42e1f6fa
Breathwork Business Coaching and Sauna Integration Strategy,02_1min_to_5min/Madrona Park.json,123,Spirituality,Part III: Healing and Integration,Chapter 7: Professional Integration,Story 123: Wellness Practitioner Collaboration and Facility Enhancement,False,25ee2d54-9fb5-81eb-9821-e5593c66dc10
"Finding My Focus: Mastery, Community, and the Big Dream","03_5min_to_20min/Finding My Focus: Mastery, Stability, and the Path to Building My Big Dream”.json",124,Spirituality,Part III: Healing and Integration,Chapter 7: Professional Integration,Story 124: Healing Gifts and Professional Path Alignment,False,25ee2d54-9fb5-8101-a33d-c0174da98787
